dtime,open,high,low,close
2019-12-11 15:49:00+00:00,108.679,108.684,108.679,108.682
2019-12-11 15:50:00+00:00,108.679,108.679,108.664,108.679
2019-12-11 15:51:00+00:00,108.681,108.686,108.681,108.686
2019-12-11 15:52:00+00:00,108.684,108.686,108.684,108.684
2019-12-11 15:53:00+00:00,108.682,108.682,108.672,108.676
2019-12-11 15:54:00+00:00,108.674,108.676,108.672,108.674
2019-12-11 15:55:00+00:00,108.676,108.690,108.674,108.690
2019-12-11 15:56:00+00:00,108.692,108.692,108.686,108.690
2019-12-11 15:57:00+00:00,108.692,108.692,108.685,108.690
2019-12-11 15:58:00+00:00,108.692,108.692,108.686,108.690
2019-12-11 15:59:00+00:00,108.688,108.705,108.688,108.702
2019-12-11 16:00:00+00:00,108.705,108.707,108.698,108.698
2019-12-11 16:01:00+00:00,108.695,108.698,108.686,108.697
2019-12-11 16:02:00+00:00,108.695,108.695,108.676,108.678
2019-12-11 16:03:00+00:00,108.676,108.690,108.674,108.688
2019-12-11 16:04:00+00:00,108.690,108.690,108.686,108.686
2019-12-11 16:05:00+00:00,108.683,108.698,108.680,108.698
2019-12-11 16:06:00+00:00,108.700,108.700,108.690,108.690
2019-12-11 16:07:00+00:00,108.688,108.688,108.680,108.682
2019-12-11 16:08:00+00:00,108.680,108.682,108.675,108.678
2019-12-11 16:09:00+00:00,108.675,108.677,108.672,108.672
2019-12-11 16:10:00+00:00,108.670,108.670,108.660,108.668
2019-12-11 16:11:00+00:00,108.665,108.665,108.660,108.662
2019-12-11 16:12:00+00:00,108.665,108.665,108.660,108.660
2019-12-11 16:13:00+00:00,108.658,108.660,108.658,108.660
2019-12-11 16:14:00+00:00,108.662,108.664,108.662,108.662
2019-12-11 16:15:00+00:00,108.665,108.668,108.660,108.660
2019-12-11 16:16:00+00:00,108.663,108.663,108.653,108.660
2019-12-11 16:17:00+00:00,108.662,108.674,108.662,108.672
2019-12-11 16:18:00+00:00,108.670,108.670,108.664,108.664
2019-12-11 16:19:00+00:00,108.666,108.666,108.656,108.656
2019-12-11 16:20:00+00:00,108.659,108.666,108.659,108.664
2019-12-11 16:21:00+00:00,108.662,108.662,108.654,108.655
2019-12-11 16:22:00+00:00,108.658,108.668,108.658,108.667
2019-12-11 16:23:00+00:00,108.670,108.674,108.670,108.672
2019-12-11 16:24:00+00:00,108.674,108.674,108.669,108.669
2019-12-11 16:25:00+00:00,108.671,108.674,108.668,108.668
2019-12-11 16:26:00+00:00,108.666,108.666,108.654,108.654
2019-12-11 16:27:00+00:00,108.651,108.659,108.648,108.648
2019-12-11 16:28:00+00:00,108.651,108.651,108.643,108.643
